sourceType,id,name,missingItemIconBefore,missingTopDownBefore
"gear","adamantovaya-pulya-10","Адамантиновые боеприпасы (20)","true","false"
"gear","antimagicheskaya-zashchita","Антимагическая защита","true","true"
"gear","arbaletnye-bolty-20","Арбалетный болт (20)","true","false"
"gear","боеприпасы-из-астрального-жала-20","Боеприпасы из астрального жала (20)","true","false"
"gear","боеприпасы-из-бивня-чудовища-20","Боеприпасы из бивня чудовища (20)","true","false"
"gear","боеприпасы-из-гигантского-когтя-20","Боеприпасы из гигантского когтя (20)","true","false"
"gear","боеприпасы-из-грозового-камня-20","Боеприпасы из грозового камня (20)","true","false"
"gear","боеприпасы-из-жала-чудовища-20","Боеприпасы из жала чудовища (20)","true","false"
"gear","боеприпасы-из-живого-корня-20","Боеприпасы из живого корня (20)","true","false"
"gear","боеприпасы-из-искажающей-стали-20","Боеприпасы из искажающей стали (20)","true","false"
"gear","боеприпасы-из-клешней-дредноута-20","Боеприпасы из клешней Дредноута (20)","true","false"
"gear","боеприпасы-из-коричневой-стали-20","Боеприпасы из коричневой стали (20)","true","false"
"gear","боеприпасы-из-костей-мантикоры-20","Боеприпасы из костей мантикоры (20)","true","false"
"gear","боеприпасы-из-кристаллов-забытых-титанов-20","Боеприпасы из кристаллов забытых Титанов (20)","true","false"
"gear","боеприпасы-из-ледяного-клыка-20","Боеприпасы из ледяного клыка (20)","true","false"
"gear","боеприпасы-из-ночной-стали-20","Боеприпасы из ночной стали (20)","true","false"
"gear","боеприпасы-из-осколков-метеоритных-звезд-20","Боеприпасы из осколков метеоритных звёзд (20)","true","false"
"gear","боеприпасы-из-панцирной-пластины-дредноута-20","Боеприпасы из панцирной пластины Дредноута (20)","true","false"
"gear","боеприпасы-из-священной-стали-20","Боеприпасы из священной стали (20)","true","false"
"gear","боеприпасы-из-фейского-дерева-20","Боеприпасы из фейского дерева (20)","true","false"
"gear","боеприпасы-из-эльфийской-стали-20","Боеприпасы из эльфийской стали (20)","true","false"
"gear","боеприпасы-из-эссенции-кошмаров-20","Боеприпасы из эссенции кошмаров (20)","true","false"
"gear","боеприпасы-с-желчным-покровом-20","Боеприпасы с желчным покровом (20)","true","false"
"gear","боеприпасы-с-ледяной-мазью-20","Боеприпасы с ледяной мазью (20)","true","false"
"gear","боеприпасы-с-огненной-мазью-20","Боеприпасы с огненной мазью (20)","true","false"
"gear","боеприпасы-с-оперением-из-волос-суккуба-20","Боеприпасы с оперением из волос суккуба (20)","true","false"
"gear","боеприпасы-с-паутинной-оплеткой-20","Боеприпасы с паутинной оплёткой (20)","true","false"
"gear","vodoottalkivayushchaya-propitka","Водоотталкивающая пропитка","true","true"
"gear","vremennoy-privod","Временной привод","true","true"
"gear","дьявольские-боеприпасы-20","Дьявольские боеприпасы (20)","true","false"
"gear","edkaya-obrabotka","Едкая обработка","true","true"
"gear","zhabernyy-klapan","Жаберный клапан","true","true"
"gear","zheleznoe-usilenie","Железное усиление","true","true"
"gear","zhestkaya-vkladka","Жёсткая вкладка","true","true"
"gear","zerkal-naya-nakladka","Зеркальная накладка","true","true"
"gear","zolotaya-inkrustatsiya","Золотая инкрустация","true","true"
"gear","zubchataya-kromka","Зубчатая кромка","true","true"
"gear","izvestkovaya-pobelka","Известковая побелка","true","true"
"gear","inertnaya-zashchita","Инертная защита","true","true"
"gear","keramicheskaya-rukoyat","Керамическая рукоять","true","true"
"gear","kislotnaya-inkrustatsiya","Кислотная инкрустация","true","true"
"gear","kogot-chudovishcha-1-y-rang","Коготь чудовища 1-й ранг","false","true"
"gear","kogot-chudovishcha-10-y-rang","Коготь чудовища 10-й ранг","false","true"
"gear","kogot-chudovishcha","Коготь чудовища 2-й ранг","false","true"
"gear","kogot-chudovishcha-3-y-rang","Коготь чудовища 3-й ранг","false","true"
"gear","kogot-chudovishcha-4-y-rang","Коготь чудовища 4-й ранг","false","true"
"gear","kogot-chudovishcha-5-y-rang","Коготь чудовища 5-й ранг","false","true"
"gear","kogot-chudovishcha-6-y-rang","Коготь чудовища 6-й ранг","false","true"
"gear","kogot-chudovishcha-7-y-rang","Коготь чудовища 7-й ранг","false","true"
"gear","kogot-chudovishcha-8-y-rang","Коготь чудовища 8-й ранг","false","true"
"gear","kogot-chudovishcha-9-y-rang","Коготь чудовища 9-й ранг","false","true"
"gear","kozhanaya-obmotka","Кожаная обмотка","true","true"
"gear","kostyanaya-nakladka","Костяная накладка","true","true"
"gear","luzhenie","Лужение","true","true"
"gear","l-nyanaya-tetiva","Льняная тетива","true","true"
"gear","maskirovochnaya-okraska","Маскировочная окраска","true","true"
"gear","myagkaya-podkladka","Мягкая подкладка","true","true"
"gear","neletal-nye-puli-20","Нелетальные (20)","true","false"
"gear","очаровательная-тетева","Очаровательная тетива","true","false"
"gear","plavnik","Плавник","true","true"
"gear","plata-regeneratsii","Плата регенерации","true","true"
"gear","platinovaya-oprava","Платиновая оправа","true","true"
"gear","podavlyayushchiy-glaz","Подавляющий глаз (м)","true","true"
"gear","propitka-sporami","Пропитка спорами","true","true"
"gear","взрывной-10","Ракетный выстрел взрывной (10)","true","false"
"gear","runnaya-cheshuya","Рунная чешуя","true","true"
"gear","svintsovaya-podkladka","Свинцовая подкладка","true","true"
"gear","serebryannaya-pulya-10","Серебряные боеприпасы (20)","true","false"
"gear","slantsevaya-oblitsovka","Сланцевая облицовка","true","true"
